ISO,COUNTRY,USG_DFSCORE,USG_PRESENCE,USG_PRESENCE_SOURCE,USG_TROOP_NUMBERS,USG_TROOP_NUMBERS_SOURCE,USG_COST,USG_COST_SOURCE,USG_TROOP_CASUALTIES,USG_TROOP_CASUALTIES_SOURCE,USG_ADVERSARY_CASUALTIES,USG_ADVERSARY_CASUALTIES_SOURCE,USG_CIVILIAN_CASUALTIES,USG_CIVILIAN_CASUALTIES_SOURCE,BIJ_DFSCORE,BIJ_PRESENCE,BIJ_PRESENCE_SOURCE,BIJ_TROOP_NUMBERS,BIJ_TROOP_NUMBERS_SOURCE,BIJ_COST,BIJ_COST_SOURCE,BIJ_TROOP_CASUALTIES,BIJ_TROOP_CASUALTIES_SOURCE,BIJ_ADVERSARY_CASUALTIES,BIJ_ADVERSARY_CASUALTIES_SOURCE,BIJ_CIVILIAN_CASUALTIES,BIJ_CIVILIAN_CASUALTIES_SOURCE,NEW_AMERICA_DFSCORE,NEW_AMERICA_PRESENCE,NEW_AMERICA_PRESENCE_SOURCE,NEW_AMERICA_TROOP_NUMBERS,NEW_AMERICA_TROOP_NUMBERS_SOURCE,NEW_AMERICA_COST,NEW_AMERICA_COST_SOURCE,NEW_AMERICA_TROOP_CASUALTIES,NEW_AMERICA_TROOP_CASUALTIES_SOURCE,NEW_AMERICA_ADVERSARY_CASUALTIES,NEW_AMERICA_ADVERSARY_CASUALTIES_SOURCE,NEW_AMERICA_CIVILIAN_CASUALTIES,NEW_AMERICA_CIVILIAN_CASUALTIES_SOURCE,GENEVA_DFSCORE,GENEVA_PRESENCE,GENEVA_PRESENCE_SOURCE,GENEVA_TROOP_NUMBERS,GENEVA_TROOP_NUMBERS_SOURCE,GENEVA_COST,GENEVA_COST_SOURCE,GENEVA_TROOP_CASUALTIES,GENEVA_TROOP_CASUALTIES_SOURCE,GENEVA_ADVERSARY_CASUALTIES,GENEVA_ADVERSARY_CASUALTIES_SOURCE,GENEVA_CIVILIAN_CASUALTIES,GENEVA_CIVILIAN_CASUALTIES_SOURCE
GHA,Ghana,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GIN,Guinea,,1,,3,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GMB,Gambia,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GNB,Guinea-Bissau,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GNQ,Equatorial Guinea,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GRC,Greece,,1,,394,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GRD,Grenada,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GTM,Guatemala,,1,,33,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GUY,Guyana,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
HND,Honduras,,1,,387,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
HRV,Croatia,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
HTI,Haiti,,1,,13,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
HUN,Hungary,,1,,210,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
